P_No,Title,URL
1,"
CEED 2018 Exam Date Announced; Registrations to Start from October 9, 2018!
",/web/20180118012754/http://www.htcampus.com:80/article/ceed-exam-date-designing-entrance-exam/
1,"
UCEED 2018 Application Process
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-application-process/
1,"
NIFT 2018 Result: Check Result in Feb/March 2018
",/web/20180118012754/http://www.htcampus.com:80/article/nift-result-check-result-feb-march/
1,"
NIFT 2018 Admit Card: How to Download Admit Card!
",/web/20180118012754/http://www.htcampus.com:80/article/nift-admit-cards-download-here/
1,"
NIFT 2018: Application, Admit Card, Result and Counseling Dates!
",/web/20180118012754/http://www.htcampus.com:80/article/nift-exam/
1,"
UCEED 2018 Exam Important Dates Released, Check Schedule Here!
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-exam-dates/
1,"
UCEED 2018 Eligibility Criteria
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-eligibility-criteria/
1,"
CEED Result 2018
",/web/20180118012754/http://www.htcampus.com:80/article/ceed-result-merit-list-admission-designing-iit-bomaby/
1,"
Top Private Colleges in India
",/web/20180118012754/http://www.htcampus.com:80/article/top-private-colleges-india/
1,"
Director�s Speak: Diana Marian Murek, Istituto Marangoni
",/web/20180118012754/http://www.htcampus.com:80/article/diana-marian-murek-istituto-marangoni-interview/
1,"
UCEED 2018 Admit Card
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-admit-card/
1,"
UCEED 2018 Exam Centres
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-exam-centres/
2,"
UPSEE Rank Predictor: Predict Your UPSEEE Rank!
",/web/20170712005531/http://www.htcampus.com/article/upsee-rank-predictor/
2,"
Indian Institute of Art and Design (IIAD) Admissions 2017
",/web/20170712005531/http://www.htcampus.com/article/indian-institute-art-and-design-iiad-admissions-applications-form/
2,"
UCEED 2018 Cut Off
",/web/20170712005531/http://www.htcampus.com/article/uceed-cut-off/
2,"
UCEED 2018 Counselling
",/web/20170712005531/http://www.htcampus.com/article/uceed-counselling/
2,"
Colleges Accepting Scores of UCEED 2018
",/web/20170712005531/http://www.htcampus.com/article/colleges-accepting-scores-uceed/
2,"
UCEED 2018 Results
",/web/20170712005531/http://www.htcampus.com/article/uceed-results/
2,"
UCEED 2018 Exam Important Dates
",/web/20170712005531/http://www.htcampus.com/article/uceed-exam-dates/
2,"
UCEED 2018 Application Process 
",/web/20170712005531/http://www.htcampus.com/article/uceed-application-process/
2,"
UCEED 2018 Eligibility Criteria
",/web/20170712005531/http://www.htcampus.com/article/uceed-eligibility-criteria/
2,"
UCEED 2018 Syllabus
",/web/20170712005531/http://www.htcampus.com/article/uceed-syllabus/
2,"
UCEED 2018 Exam Pattern
",/web/20170712005531/http://www.htcampus.com/article/uceed-exam-pattern/
2,"
UCEED 2018 - Dates, Application Form, Eligibility, Exam Pattern
",/web/20170712005531/http://www.htcampus.com/article/uceed-dates-application-form-eligibility-exam-pattern/
3,"
UCEED 2018 Syllabus
",/web/20180103221836/http://www.htcampus.com/article/uceed-syllabus/
3,"
UCEED 2018 Cut Off
",/web/20180103221836/http://www.htcampus.com/article/uceed-cut-off/
3,"
UCEED 2018 Exam Pattern
",/web/20180103221836/http://www.htcampus.com/article/uceed-exam-pattern/
3,"
UCEED 2018 - Dates, Application Form, Eligibility, Exam Pattern
",/web/20180103221836/http://www.htcampus.com/article/uceed-exam/
3,"
CEED 2018 Eligibility Criteria
",/web/20180103221836/http://www.htcampus.com/article/ceed-eligibility-criteria-master-design-admission-iit/
3,"
CEED 2018 Important Dates- Check Details
",/web/20180103221836/http://www.htcampus.com/article/ceed-important-dates/
3,"
CEED 2018 Exam Pattern
",/web/20180103221836/http://www.htcampus.com/article/ceed-exam-pattern-syllabus-designing-admission/
3,"
CEED 2018: IIT Bombay Released Online Information Brochure
",/web/20180103221836/http://www.htcampus.com/article/uceed-iit-bombay-release-online-information-brochure/
3,"
CEED 2018 Application Process To Start From October 9
",/web/20180103221836/http://www.htcampus.com/article/ceed-application-process-form-fees/
3,"
AIEED 2018 Application Fee
",/web/20180103221836/http://www.htcampus.com/article/aieed-application-fee/
4,"
AIEED 2018 Application Form Released
",/web/20180103221846/http://www.htcampus.com/article/aieed-application-form-released/
4,"
AIEED 2018 Eligibility Criteria
",/web/20180103221846/http://www.htcampus.com/article/aieed-eligibility-criteria/
4,"
AIEED 2018 Exam Pattern
",/web/20180103221846/http://www.htcampus.com/article/aieed-exam-pattern/
4,"
AIEED 2018 Important Dates
",/web/20180103221846/http://www.htcampus.com/article/aieed-important-dates/
4,"
Colleges Accepting Scores of UCEED 2018
",/web/20180103221846/http://www.htcampus.com/article/colleges-accepting-scores-uceed/
4,"
UCEED 2018 Results
",/web/20180103221846/http://www.htcampus.com/article/uceed-results/
4,"
UCEED 2018 Counselling
",/web/20180103221846/http://www.htcampus.com/article/uceed-counselling/
4,"
UCEED Previous Year's Exam Analysis
",/web/20180103221846/http://www.htcampus.com/article/uceed-previous-years-exam-analysis/
4,"
UPSEE Rank Predictor: Predict Your UPSEE Rank!
",/web/20180103221846/http://www.htcampus.com/article/upsee-rank-predictor/
4,"
Will CCE help crack competitive tests?
",/web/20180103221846/http://www.htcampus.com/article/will-cce-help-crack-competitive-tests-72/
5,"
Indian Institute of Art and Design (IIAD) Admissions 2017
",/web/20180121104723/http://www.htcampus.com/article/indian-institute-art-and-design-iiad-admissions-applications-form/
5,"
Career Prospects in Fashion & Design
",/web/20180121104723/http://www.htcampus.com/article/career-prospects-fashion-design-817/
5,"
Pearl Academy Showcases Collections of Over 350 Budding Designers 
",/web/20180121104723/http://www.htcampus.com/article/pearl-academy-showcases-collections-over-350-budding-designers/
5,"
UPES Opens Admissions for M.Des in Interaction Design
",/web/20180121104723/http://www.htcampus.com/article/upes-school-of-design-studies-admissions-mdes-interaction-design/
5,"
Panchkula to get New NIFT Campus
",/web/20180121104723/http://www.htcampus.com/article/panchkula-new-nift-campus/
5,"
National Institute of Design PhD Admissions: Important Dates
",/web/20180121104723/http://www.htcampus.com/article/national-institute-design-phd-admissions-important-dates/
5,"
Avantika University Opens Admissions for its Design and Engineering Programs 
",/web/20180121104723/http://www.htcampus.com/article/avantika-university-opens-admissions-design-engineering-programs/
5,"
Fashion trends: What's new in DU's trend
",/web/20180121104723/http://www.htcampus.com/article/fashion-trends-whats-new-dus-trend/
5,"
NID 2017 Result Declared!
",/web/20180121104723/http://www.htcampus.com/article/nid-results/
5,"
Download UCEED 2017 Answers Key 
",/web/20180121104723/http://www.htcampus.com/article/download-uceed-2016-answers-key/
6,"
MIT Institute of Design Hosts IIID�s Design Yatra in Pune
",/web/20180206011816/http://www.htcampus.com/article/mit-institute-design-hosts-iiids-design-yatra-pune/
6,"
Download CEED 2017 Admit Cards Now!
",/web/20180206011816/http://www.htcampus.com/article/ceed-admit-cards/
6,"
All About FDDI Admission Process
",/web/20180206011816/http://www.htcampus.com/article/all-about-fddi-admission-process/
6,"
FDDI AIST Results and Counselling
",/web/20180206011816/http://www.htcampus.com/article/fddi-aist-entrance-exam-results-and-counselling/
6,"
FDDI AIST Entrance Exam Pattern
",/web/20180206011816/http://www.htcampus.com/article/fddi-aist-entrance-exam-pattern/
6,"
Admissions Open at Unitedworld Institute of Design for UG/PG Programmes 2017
",/web/20180206011816/http://www.htcampus.com/article/admissions-open-unitedworld-institute-design-ug-pg-programmes-2017/
6,"
FDDI Admissions 2017: Eligibility Criteria
",/web/20180206011816/http://www.htcampus.com/article/fddi-admissions-eligibility-criteria/
6,"
FDDI AIST 2017 Admit Card 
",/web/20180206011816/http://www.htcampus.com/article/fddi-aist-entrance-exam-admit-card/
6,"
FDDI Admissions 2017: Important Dates 
",/web/20180206011816/http://www.htcampus.com/article/fddi-admissions-important-dates/
6,"
FDDI Admissions 2017: Application Procedure 
",/web/20180206011816/http://www.htcampus.com/article/fddi-admissions-application-procedure-forms/
7,"
CEED Result 2017
",/web/20170811095656/http://www.htcampus.com/article/ceed-result-merit-list-admission-designing-iit-bomaby/
7,"
CEED 2017 Application Process has Begun
",/web/20170811095656/http://www.htcampus.com/article/ceed-application-process-form-fees/
7,"
CEED 2017 Exam Pattern
",/web/20170811095656/http://www.htcampus.com/article/ceed-exam-pattern-syllabus-designing-admission/
7,"
CEED 2017 Eligibility Criteria
",/web/20170811095656/http://www.htcampus.com/article/ceed-eligibility-criteria-master-design-admission-iit/
7,"
Avantika University Organizes �Design Thinking� Workshop for Students in Bhopal
",/web/20170811095656/http://www.htcampus.com/article/avantika-university-organizes-design-thinking-workshop-students-bhopal/
7,"
Istituto Marangoni Students Create Collection Themed Around Disney Characters
",/web/20170811095656/http://www.htcampus.com/article/istituto-marangoni-students-create-collection-themed-around-disney-characters/
7,"
AIEED 2017: Eligibility, Exam Pattern, Counselling and More
",/web/20170811095656/http://www.htcampus.com/article/aieed-2017-eligibility-exam-pattern-counselling-and-more/
7,"
AIEED 2017 Exam Pattern
",/web/20170811095656/http://www.htcampus.com/article/aieed-exam-pattern/
7,"
Istituto Marangoni Paris Holds Graduation Ceremony for Class of 2016
",/web/20170811095656/http://www.htcampus.com/article/instituto-marangoni-paris-holds-graduation-ceremony-class/
7,"
AIEED 2017 Eligibility Criteria
",/web/20170811095656/http://www.htcampus.com/article/aieed-eligibility-criteria/
8,"
UCEED 2017: Apply Now!
",/web/20171102022506/http://www.htcampus.com/article/uceed-2017/
8,"
Rendezvous with the Fashion World! 
",/web/20171102022506/http://www.htcampus.com/article/rendezvous-fashion-world/
8,"
Avantika University Organizes �Design Thinking� Workshop for Students in Bhopal
",/web/20171102022506/http://www.htcampus.com/article/avantika-university-organizes-design-thinking-workshop-students-bhopal/
8,"
Istituto Marangoni Students Create Collection Themed Around Disney Characters
",/web/20171102022506/http://www.htcampus.com/article/istituto-marangoni-students-create-collection-themed-around-disney-characters/
8,"
AIEED 2017: Eligibility, Exam Pattern, Counselling and More
",/web/20171102022506/http://www.htcampus.com/article/aieed-2017-eligibility-exam-pattern-counselling-and-more/
8,"
Istituto Marangoni Paris Holds Graduation Ceremony for Class of 2016
",/web/20171102022506/http://www.htcampus.com/article/instituto-marangoni-paris-holds-graduation-ceremony-class/
8,"
Entrance Exam Dates for NIFT Courses for 2013
",/web/20171102022506/http://www.htcampus.com/article/entrance-exam-dates-for-nift-courses-2897/
8,"
Pearl Academy Offers B.A Hons Courses for 2013
",/web/20171102022506/http://www.htcampus.com/article/pearl-academy-offers-ba-hons-courses-for-2013-2885/
8,"
Teacher's Day Celebration at Aditya Education Campus
",/web/20171102022506/http://www.htcampus.com/article/teachers-day-celebration-aditya-education-campus/
8,"
Why Fashion Graduates Should Work with Start-ups
",/web/20171102022506/http://www.htcampus.com/article/fashion-graduates-designing-start-ups-work-industry-job/
